action,block_minStateId,block_maxStateId,block_name,score,num
place,2,2,granite,0.0,0
walk_W,2,2,granite,-0.02,1
sprint_W,2,2,granite,0.0,0
walk_WA,2,2,granite,0.0,0
sprint_WA,2,2,granite,0.0,0
walk_A,2,2,granite,1.0935347105398379,12
sprint_A,2,2,granite,0.0,0
walk_AS,2,2,granite,0.764436787154512,1
sprint_AS,2,2,granite,5.855112898885612,51
walk_S,2,2,granite,0.0,0
sprint_S,2,2,granite,0.5029356457170197,3
walk_SD,2,2,granite,0.3491984086626605,3
sprint_SD,2,2,granite,0.2671277747144774,2
walk_D,2,2,granite,-0.03,3
sprint_D,2,2,granite,-0.01,1
walk_DW,2,2,granite,-0.01,1
sprint_DW,2,2,granite,0.0,0
break_U,2,2,granite,0.495,2
break_UF,2,2,granite,0.0,0
break_F,2,2,granite,-0.04,2
break_DF,2,2,granite,2.756211675515361,38
break_D,2,2,granite,0.495,2
jump,3,3,polished_granite,0.0,0
sneak,3,3,polished_granite,0.0,0
offset,3,3,polished_granite,0.0,0
place,3,3,polished_granite,0.0,0
walk_W,3,3,polished_granite,0.0,0
sprint_W,3,3,polished_granite,0.0,0
walk_WA,3,3,polished_granite,0.0,0
sprint_WA,3,3,polished_granite,0.0,0
walk_A,3,3,polished_granite,0.0,0
sprint_A,3,3,polished_granite,0.0,0
walk_AS,3,3,polished_granite,0.0,0
sprint_AS,3,3,polished_granite,0.0,0
walk_S,3,3,polished_granite,0.0,0
sprint_S,3,3,polished_granite,0.0,0
walk_SD,3,3,polished_granite,0.0,0
sprint_SD,3,3,polished_granite,0.0,0
walk_D,3,3,polished_granite,0.0,0
sprint_D,3,3,polished_granite,0.0,0
walk_DW,3,3,polished_granite,0.0,0
sprint_DW,3,3,polished_granite,0.0,0
break_U,3,3,polished_granite,0.0,0
break_UF,3,3,polished_granite,0.0,0
break_F,3,3,polished_granite,0.0,0
break_DF,3,3,polished_granite,0.0,0
break_D,3,3,polished_granite,0.0,0
jump,4,4,diorite,0.11806816511485854,2
sneak,4,4,diorite,-0.20000000000000007,2
offset,4,4,diorite,2.599925397289104,93
place,4,4,diorite,0.24979182228024993,5
walk_W,4,4,diorite,-0.04,1
sprint_W,4,4,diorite,0.0,0
walk_WA,4,4,diorite,10.10350445463729,2
sprint_WA,4,4,diorite,0.2816203420588468,2
walk_A,4,4,diorite,0.0,0
sprint_A,4,4,diorite,0.0,0
walk_AS,4,4,diorite,0.0,0
sprint_AS,4,4,diorite,0.0,0
walk_S,4,4,diorite,0.9842582643826888,1
sprint_S,4,4,diorite,0.6264792654386319,1
walk_SD,4,4,diorite,8.10110755526806,5
sprint_SD,4,4,diorite,-0.3300000000000001,1
walk_D,4,4,diorite,-0.02,1
sprint_D,4,4,diorite,0.6425056354090076,1
walk_DW,4,4,diorite,0.0,0
sprint_DW,4,4,diorite,8.118492691641684,5
break_U,4,4,diorite,6.248817174465632,10
break_UF,4,4,diorite,2.51337332058448,38
break_F,4,4,diorite,0.0,0
break_DF,4,4,diorite,0.49,2
break_D,4,4,diorite,2.9924999999999997,4
jump,5,5,polished_diorite,0.0,0
sneak,5,5,polished_diorite,0.0,0
offset,5,5,polished_diorite,0.0,0
place,5,5,polished_diorite,0.0,0
walk_W,5,5,polished_diorite,0.0,0
sprint_W,5,5,polished_diorite,0.0,0
walk_WA,5,5,polished_diorite,0.0,0
sprint_WA,5,5,polished_diorite,0.0,0
walk_A,5,5,polished_diorite,0.0,0
sprint_A,5,5,polished_diorite,0.0,0
walk_AS,5,5,polished_diorite,0.0,0
sprint_AS,5,5,polished_diorite,0.0,0
walk_S,5,5,polished_diorite,0.0,0
sprint_S,5,5,polished_diorite,0.0,0
walk_SD,5,5,polished_diorite,0.0,0
sprint_SD,5,5,polished_diorite,0.0,0
walk_D,5,5,polished_diorite,0.0,0
sprint_D,5,5,polished_diorite,0.0,0
walk_DW,5,5,polished_diorite,0.0,0
sprint_DW,5,5,polished_diorite,0.0,0
break_U,5,5,polished_diorite,0.0,0
break_UF,5,5,polished_diorite,0.0,0
break_F,5,5,polished_diorite,0.0,0
break_DF,5,5,polished_diorite,0.0,0
break_D,5,5,polished_diorite,0.0,0
jump,6,6,andesite,-0.08,1
sneak,6,6,andesite,-0.20000000000000004,1
offset,6,6,andesite,3.4285447380583842,367
place,6,6,andesite,-0.045,2
walk_W,6,6,andesite,0.0,0
sprint_W,6,6,andesite,-0.025,2
walk_WA,6,6,andesite,0.08186249758611475,3
sprint_WA,6,6,andesite,0.0,0
walk_A,6,6,andesite,2.5253783930250266,9
sprint_A,6,6,andesite,1.0150105662594622,14
walk_AS,6,6,andesite,0.48730596155872025,1
sprint_AS,6,6,andesite,2.7688831182210563,21
walk_S,6,6,andesite,-0.07,1
sprint_S,6,6,andesite,1.0813654389327652,1
walk_SD,6,6,andesite,0.7764370078264943,1
sprint_SD,6,6,andesite,0.31747116400615605,2
walk_D,6,6,andesite,0.1930026835090135,6
sprint_D,6,6,andesite,0.4592288803046376,3
walk_DW,6,6,andesite,0.15825036291382383,5
sprint_DW,6,6,andesite,0.0425050058402692,7
break_U,6,6,andesite,0.495,2
break_UF,6,6,andesite,2.8713554211456565,47
break_F,6,6,andesite,2.3933249611750282,48
break_DF,6,6,andesite,3.065628891212326,182
break_D,6,6,andesite,4.138907842737695,40
jump,7,7,polished_andesite,0.0,0
sneak,7,7,polished_andesite,0.0,0
offset,7,7,polished_andesite,0.0,0
place,7,7,polished_andesite,0.0,0
walk_W,7,7,polished_andesite,0.0,0
sprint_W,7,7,polished_andesite,0.0,0
walk_WA,7,7,polished_andesite,0.0,0
sprint_WA,7,7,polished_andesite,0.0,0
walk_A,7,7,polished_andesite,0.0,0
sprint_A,7,7,polished_andesite,0.0,0
walk_AS,7,7,polished_andesite,0.0,0
sprint_AS,7,7,polished_andesite,0.0,0
walk_S,7,7,polished_andesite,0.0,0
sprint_S,7,7,polished_andesite,0.0,0
walk_SD,7,7,polished_andesite,0.0,0
sprint_SD,7,7,polished_andesite,0.0,0
walk_D,7,7,polished_andesite,0.0,0
sprint_D,7,7,polished_andesite,0.0,0
walk_DW,7,7,polished_andesite,0.0,0
sprint_DW,7,7,polished_andesite,0.0,0
break_U,7,7,polished_andesite,0.0,0
break_UF,7,7,polished_andesite,0.0,0
break_F,7,7,polished_andesite,0.0,0
break_DF,7,7,polished_andesite,0.0,0
break_D,7,7,polished_andesite,0.0,0
jump,8,9,grass_block,-1.4319472564265388,13
sneak,8,9,grass_block,-2.255,4
offset,8,9,grass_block,7.188137217325339,741
place,8,9,grass_block,9.959128091465843,114
walk_W,8,9,grass_block,-1.1254545454545455,11
sprint_W,8,9,grass_block,-0.10434153800522197,8
walk_WA,8,9,grass_block,0.5810408967614735,9
sprint_WA,8,9,grass_block,1.0991492379841674,12
walk_A,8,9,grass_block,2.8074054080529547,5
sprint_A,8,9,grass_block,5.791776656696067,67
walk_AS,8,9,grass_block,1.6658391734479652,15
sprint_AS,8,9,grass_block,2.860675166426238,7
walk_S,8,9,grass_block,7.451575369553548,46
sprint_S,8,9,grass_block,5.66533115481525,22
walk_SD,8,9,grass_block,4.610442917920422,35
sprint_SD,8,9,grass_block,15.155844225850535,354
walk_D,8,9,grass_block,1.936838210010656,9
sprint_D,8,9,grass_block,8.137432881410652,19
walk_DW,8,9,grass_block,1.1523822654379463,8
sprint_DW,8,9,grass_block,1.3794129486205728,10
break_U,8,9,grass_block,-0.19662214122660776,25
break_UF,8,9,grass_block,0.4713371090949233,30
break_F,8,9,grass_block,-6.01,2
break_DF,8,9,grass_block,6.8394909465804075,17
break_D,8,9,grass_block,-0.9018981661616166,15
jump,10,10,dirt,-0.10667290741005843,11
sneak,10,10,dirt,-1.1272727272727272,11
offset,10,10,dirt,4.414768170551918,1019
place,10,10,dirt,1.5401672697049982,26
walk_W,10,10,dirt,-1.2042857142857142,7
sprint_W,10,10,dirt,0.27081573582807944,14
walk_WA,10,10,dirt,-0.26414340761271854,11
sprint_WA,10,10,dirt,-0.3872382808749889,10
walk_A,10,10,dirt,0.28289705277288096,8
sprint_A,10,10,dirt,0.8559783746691259,11
walk_AS,10,10,dirt,2.53481314638997,16
sprint_AS,10,10,dirt,2.2644842862857844,57
walk_S,10,10,dirt,1.4784347526998876,16
sprint_S,10,10,dirt,0.5148336972015871,16
walk_SD,10,10,dirt,-1.5856614113383118,185
sprint_SD,10,10,dirt,1.7116081283336921,13
walk_D,10,10,dirt,0.004061655080193759,19
sprint_D,10,10,dirt,-1.2774298205243537,7
walk_DW,10,10,dirt,2.2897286836195416,6
sprint_DW,10,10,dirt,3.8465096269807937,10
break_U,10,10,dirt,-0.7886164962138318,16
break_UF,10,10,dirt,0.14177842254221762,9
break_F,10,10,dirt,2.219357764981558,30
break_DF,10,10,dirt,1.826251510459294,20
break_D,10,10,dirt,4.949691154006426,475
jump,11,11,coarse_dirt,0.0,0
sneak,11,11,coarse_dirt,0.0,0
offset,11,11,coarse_dirt,0.0,0
place,11,11,coarse_dirt,0.0,0
walk_W,11,11,coarse_dirt,0.0,0
sprint_W,11,11,coarse_dirt,0.0,0
walk_WA,11,11,coarse_dirt,0.0,0
sprint_WA,11,11,coarse_dirt,0.0,0
walk_A,11,11,coarse_dirt,0.0,0
sprint_A,11,11,coarse_dirt,0.0,0
walk_AS,11,11,coarse_dirt,0.0,0
sprint_AS,11,11,coarse_dirt,0.0,0
walk_S,11,11,coarse_dirt,0.0,0
sprint_S,11,11,coarse_dirt,0.0,0
walk_SD,11,11,coarse_dirt,0.0,0
sprint_SD,11,11,coarse_dirt,0.0,0
walk_D,11,11,coarse_dirt,0.0,0
sprint_D,11,11,coarse_dirt,0.0,0
walk_DW,11,11,coarse_dirt,0.0,0
sprint_DW,11,11,coarse_dirt,0.0,0
break_U,11,11,coarse_dirt,0.0,0
break_UF,11,11,coarse_dirt,0.0,0
break_F,11,11,coarse_dirt,0.0,0
break_DF,11,11,coarse_dirt,0.0,0
break_D,11,11,coarse_dirt,0.0,0
jump,12,13,podzol,0.0,0
sneak,12,13,podzol,0.0,0
offset,12,13,podzol,0.0,0
place,12,13,podzol,0.0,0
walk_W,12,13,podzol,0.0,0
sprint_W,12,13,podzol,0.0,0
walk_WA,12,13,podzol,0.0,0
sprint_WA,12,13,podzol,0.0,0
walk_A,12,13,podzol,0.0,0
sprint_A,12,13,podzol,0.0,0
walk_AS,12,13,podzol,0.0,0
sprint_AS,12,13,podzol,0.0,0
walk_S,12,13,podzol,0.0,0
sprint_S,12,13,podzol,0.0,0
walk_SD,12,13,podzol,0.0,0
sprint_SD,12,13,podzol,0.0,0
walk_D,12,13,podzol,0.0,0
sprint_D,12,13,podzol,0.0,0
walk_DW,12,13,podzol,0.0,0
sprint_DW,12,13,podzol,0.0,0
break_U,12,13,podzol,0.0,0
break_UF,12,13,podzol,0.0,0
break_F,12,13,podzol,0.0,0
break_DF,12,13,podzol,0.0,0
break_D,12,13,podzol,0.0,0
jump,14,14,cobblestone,0.0,0
sneak,14,14,cobblestone,0.0,0
offset,14,14,cobblestone,0.0,0
place,14,14,cobblestone,0.0,0
walk_W,14,14,cobblestone,0.0,0
sprint_W,14,14,cobblestone,0.0,0
walk_WA,14,14,cobblestone,0.0,0
sprint_WA,14,14,cobblestone,0.0,0
walk_A,14,14,cobblestone,0.0,0
sprint_A,14,14,cobblestone,0.0,0
walk_AS,14,14,cobblestone,0.0,0
sprint_AS,14,14,cobblestone,0.0,0
walk_S,14,14,cobblestone,0.0,0
sprint_S,14,14,cobblestone,0.0,0
walk_SD,14,14,cobblestone,0.0,0
sprint_SD,14,14,cobblestone,0.0,0
walk_D,14,14,cobblestone,0.0,0
sprint_D,14,14,cobblestone,0.0,0
walk_DW,14,14,cobblestone,0.0,0
sprint_DW,14,14,cobblestone,0.0,0
break_U,14,14,cobblestone,0.0,0
break_UF,14,14,cobblestone,0.0,0
break_F,14,14,cobblestone,0.0,0
break_DF,14,14,cobblestone,0.0,0
break_D,14,14,cobblestone,0.0,0
jump,15,15,oak_planks,0.0,0
sneak,15,15,oak_planks,0.0,0
offset,15,15,oak_planks,0.0,0
place,15,15,oak_planks,0.0,0
walk_W,15,15,oak_planks,0.0,0
sprint_W,15,15,oak_planks,0.0,0
walk_WA,15,15,oak_planks,0.0,0
sprint_WA,15,15,oak_planks,0.0,0
walk_A,15,15,oak_planks,0.0,0
sprint_A,15,15,oak_planks,0.0,0
walk_AS,15,15,oak_planks,0.0,0
sprint_AS,15,15,oak_planks,0.0,0
walk_S,15,15,oak_planks,0.0,0
sprint_S,15,15,oak_planks,0.0,0
walk_SD,15,15,oak_planks,0.0,0
sprint_SD,15,15,oak_planks,0.0,0
walk_D,15,15,oak_planks,0.0,0
sprint_D,15,15,oak_planks,0.0,0
walk_DW,15,15,oak_planks,0.0,0
sprint_DW,15,15,oak_planks,0.0,0
break_U,15,15,oak_planks,0.0,0
break_UF,15,15,oak_planks,0.0,0
break_F,15,15,oak_planks,0.0,0
break_DF,15,15,oak_planks,0.0,0
break_D,15,15,oak_planks,0.0,0
jump,16,16,spruce_planks,0.0,0
sneak,16,16,spruce_planks,-2.0,1
offset,16,16,spruce_planks,-1.7390897223181858,7
place,16,16,spruce_planks,0.0,0
walk_W,16,16,spruce_planks,0.0,0
sprint_W,16,16,spruce_planks,0.0,0
walk_WA,16,16,spruce_planks,-1.4279363134668481,2
sprint_WA,16,16,spruce_planks,0.0,0
walk_A,16,16,spruce_planks,0.0,0
sprint_A,16,16,spruce_planks,0.0,0
walk_AS,16,16,spruce_planks,0.0,0
sprint_AS,16,16,spruce_planks,0.0,0
walk_S,16,16,spruce_planks,0.0,0
sprint_S,16,16,spruce_planks,0.2801403645597194,1
walk_SD,16,16,spruce_planks,21.939260843438657,1
sprint_SD,16,16,spruce_planks,0.0,0
walk_D,16,16,spruce_planks,0.0,0
sprint_D,16,16,spruce_planks,1.4944412973180157,6
walk_DW,16,16,spruce_planks,0.0,0
sprint_DW,16,16,spruce_planks,0.0,0
break_U,16,16,spruce_planks,0.0,0
break_UF,16,16,spruce_planks,0.0,0
break_F,16,16,spruce_planks,0.0,0
break_DF,16,16,spruce_planks,0.0,0
break_D,16,16,spruce_planks,0.0,0
jump,17,17,birch_planks,0.0,0
sneak,17,17,birch_planks,0.0,0
offset,17,17,birch_planks,0.0,0
place,17,17,birch_planks,0.0,0
walk_W,17,17,birch_planks,0.0,0
sprint_W,17,17,birch_planks,0.0,0
walk_WA,17,17,birch_planks,0.0,0
sprint_WA,17,17,birch_planks,0.0,0
walk_A,17,17,birch_planks,0.0,0
sprint_A,17,17,birch_planks,0.0,0
walk_AS,17,17,birch_planks,0.0,0
sprint_AS,17,17,birch_planks,0.0,0
walk_S,17,17,birch_planks,0.0,0
sprint_S,17,17,birch_planks,0.0,0
walk_SD,17,17,birch_planks,0.0,0
sprint_SD,17,17,birch_planks,0.0,0
walk_D,17,17,birch_planks,0.0,0
sprint_D,17,17,birch_planks,0.0,0
walk_DW,17,17,birch_planks,0.0,0
sprint_DW,17,17,birch_planks,0.0,0
break_U,17,17,birch_planks,0.0,0
break_UF,17,17,birch_planks,0.0,0
break_F,17,17,birch_planks,0.0,0
break_DF,17,17,birch_planks,0.0,0
break_D,17,17,birch_planks,0.0,0
jump,18,18,jungle_planks,0.0,0
sneak,18,18,jungle_planks,0.0,0
offset,18,18,jungle_planks,0.0,0
place,18,18,jungle_planks,0.0,0
walk_W,18,18,jungle_planks,0.0,0
sprint_W,18,18,jungle_planks,0.0,0
walk_WA,18,18,jungle_planks,0.0,0
sprint_WA,18,18,jungle_planks,0.0,0
walk_A,18,18,jungle_planks,0.0,0
sprint_A,18,18,jungle_planks,0.0,0
walk_AS,18,18,jungle_planks,0.0,0
sprint_AS,18,18,jungle_planks,0.0,0
walk_S,18,18,jungle_planks,0.0,0
sprint_S,18,18,jungle_planks,0.0,0
walk_SD,18,18,jungle_planks,0.0,0
sprint_SD,18,18,jungle_planks,0.0,0
walk_D,18,18,jungle_planks,0.0,0
sprint_D,18,18,jungle_planks,0.0,0
walk_DW,18,18,jungle_planks,0.0,0
sprint_DW,18,18,jungle_planks,0.0,0
break_U,18,18,jungle_planks,0.0,0
break_UF,18,18,jungle_planks,0.0,0
break_F,18,18,jungle_planks,0.0,0
break_DF,18,18,jungle_planks,0.0,0
break_D,18,18,jungle_planks,0.0,0
jump,19,19,acacia_planks,0.0,0
sneak,19,19,acacia_planks,0.0,0
offset,19,19,acacia_planks,0.0,0
place,19,19,acacia_planks,0.0,0
walk_W,19,19,acacia_planks,0.0,0
sprint_W,19,19,acacia_planks,0.0,0
walk_WA,19,19,acacia_planks,0.0,0
sprint_WA,19,19,acacia_planks,0.0,0
walk_A,19,19,acacia_planks,0.0,0
sprint_A,19,19,acacia_planks,0.0,0
walk_AS,19,19,acacia_planks,0.0,0
sprint_AS,19,19,acacia_planks,0.0,0
walk_S,19,19,acacia_planks,0.0,0
sprint_S,19,19,acacia_planks,0.0,0
walk_SD,19,19,acacia_planks,0.0,0
sprint_SD,19,19,acacia_planks,0.0,0
walk_D,19,19,acacia_planks,0.0,0
sprint_D,19,19,acacia_planks,0.0,0
walk_DW,19,19,acacia_planks,0.0,0
sprint_DW,19,19,acacia_planks,0.0,0
break_U,19,19,acacia_planks,0.0,0
break_UF,19,19,acacia_planks,0.0,0
break_F,19,19,acacia_planks,0.0,0
break_DF,19,19,acacia_planks,0.0,0
break_D,19,19,acacia_planks,0.0,0
jump,20,20,dark_oak_planks,0.0,0
sneak,20,20,dark_oak_planks,0.0,0
offset,20,20,dark_oak_planks,0.0,0
place,20,20,dark_oak_planks,0.0,0
walk_W,20,20,dark_oak_planks,0.0,0
sprint_W,20,20,dark_oak_planks,0.0,0
walk_WA,20,20,dark_oak_planks,0.0,0
sprint_WA,20,20,dark_oak_planks,0.0,0
walk_A,20,20,dark_oak_planks,0.0,0
sprint_A,20,20,dark_oak_planks,0.0,0
walk_AS,20,20,dark_oak_planks,0.0,0
sprint_AS,20,20,dark_oak_planks,0.0,0
walk_S,20,20,dark_oak_planks,0.0,0
sprint_S,20,20,dark_oak_planks,0.0,0
walk_SD,20,20,dark_oak_planks,0.0,0
sprint_SD,20,20,dark_oak_planks,0.0,0
walk_D,20,20,dark_oak_planks,0.0,0
sprint_D,20,20,dark_oak_planks,0.0,0
walk_DW,20,20,dark_oak_planks,0.0,0
sprint_DW,20,20,dark_oak_planks,0.0,0
break_U,20,20,dark_oak_planks,0.0,0
break_UF,20,20,dark_oak_planks,0.0,0
break_F,20,20,dark_oak_planks,0.0,0
break_DF,20,20,dark_oak_planks,0.0,0
break_D,20,20,dark_oak_planks,0.0,0
jump,21,22,oak_sapling,0.0,0
sneak,21,22,oak_sapling,0.0,0
offset,21,22,oak_sapling,0.0,0
place,21,22,oak_sapling,0.0,0
walk_W,21,22,oak_sapling,0.0,0
sprint_W,21,22,oak_sapling,0.0,0
walk_WA,21,22,oak_sapling,0.0,0
sprint_WA,21,22,oak_sapling,0.0,0
walk_A,21,22,oak_sapling,0.0,0
sprint_A,21,22,oak_sapling,0.0,0
walk_AS,21,22,oak_sapling,0.0,0
sprint_AS,21,22,oak_sapling,0.0,0
walk_S,21,22,oak_sapling,0.0,0
sprint_S,21,22,oak_sapling,0.0,0
walk_SD,21,22,oak_sapling,0.0,0
sprint_SD,21,22,oak_sapling,0.0,0
walk_D,21,22,oak_sapling,0.0,0
sprint_D,21,22,oak_sapling,0.0,0
walk_DW,21,22,oak_sapling,0.0,0
sprint_DW,21,22,oak_sapling,0.0,0
break_U,21,22,oak_sapling,0.0,0
break_UF,21,22,oak_sapling,0.0,0
break_F,21,22,oak_sapling,0.0,0
break_DF,21,22,oak_sapling,0.0,0
break_D,21,22,oak_sapling,0.0,0
jump,23,24,spruce_sapling,0.0,0
sneak,23,24,spruce_sapling,0.0,0
offset,23,24,spruce_sapling,0.0,0
place,23,24,spruce_sapling,0.0,0
walk_W,23,24,spruce_sapling,0.0,0
sprint_W,23,24,spruce_sapling,0.0,0
walk_WA,23,24,spruce_sapling,0.0,0
sprint_WA,23,24,spruce_sapling,0.0,0
walk_A,23,24,spruce_sapling,0.0,0
sprint_A,23,24,spruce_sapling,0.0,0
walk_AS,23,24,spruce_sapling,0.0,0
sprint_AS,23,24,spruce_sapling,0.0,0
walk_S,23,24,spruce_sapling,0.0,0
sprint_S,23,24,spruce_sapling,0.0,0
walk_SD,23,24,spruce_sapling,0.0,0
sprint_SD,23,24,spruce_sapling,0.0,0
walk_D,23,24,spruce_sapling,0.0,0
sprint_D,23,24,spruce_sapling,0.0,0
walk_DW,23,24,spruce_sapling,0.0,0
sprint_DW,23,24,spruce_sapling,0.0,0
break_U,23,24,spruce_sapling,0.0,0
break_UF,23,24,spruce_sapling,0.0,0
break_F,23,24,spruce_sapling,0.0,0
break_DF,23,24,spruce_sapling,0.0,0
break_D,23,24,spruce_sapling,0.0,0
jump,25,26,birch_sapling,0.0,0
sneak,25,26,birch_sapling,0.0,0
offset,25,26,birch_sapling,0.0,0
place,25,26,birch_sapling,0.0,0
walk_W,25,26,birch_sapling,0.0,0
sprint_W,25,26,birch_sapling,0.0,0
walk_WA,25,26,birch_sapling,0.0,0
sprint_WA,25,26,birch_sapling,0.0,0
walk_A,25,26,birch_sapling,0.0,0
sprint_A,25,26,birch_sapling,0.0,0
walk_AS,25,26,birch_sapling,0.0,0
sprint_AS,25,26,birch_sapling,0.0,0
walk_S,25,26,birch_sapling,0.0,0
sprint_S,25,26,birch_sapling,0.0,0
walk_SD,25,26,birch_sapling,0.0,0
sprint_SD,25,26,birch_sapling,0.0,0
walk_D,25,26,birch_sapling,0.0,0
sprint_D,25,26,birch_sapling,0.0,0
walk_DW,25,26,birch_sapling,0.0,0
sprint_DW,25,26,birch_sapling,0.0,0
break_U,25,26,birch_sapling,0.0,0
break_UF,25,26,birch_sapling,0.0,0
break_F,25,26,birch_sapling,0.0,0
break_DF,25,26,birch_sapling,0.0,0
break_D,25,26,birch_sapling,0.0,0
jump,27,28,jungle_sapling,0.0,0
sneak,27,28,jungle_sapling,0.0,0
offset,27,28,jungle_sapling,0.0,0
place,27,28,jungle_sapling,0.0,0
walk_W,27,28,jungle_sapling,0.0,0
sprint_W,27,28,jungle_sapling,0.0,0
walk_WA,27,28,jungle_sapling,0.0,0
sprint_WA,27,28,jungle_sapling,0.0,0
walk_A,27,28,jungle_sapling,0.0,0
sprint_A,27,28,jungle_sapling,0.0,0
walk_AS,27,28,jungle_sapling,0.0,0
sprint_AS,27,28,jungle_sapling,0.0,0
walk_S,27,28,jungle_sapling,0.0,0
sprint_S,27,28,jungle_sapling,0.0,0
walk_SD,27,28,jungle_sapling,0.0,0
sprint_SD,27,28,jungle_sapling,0.0,0
walk_D,27,28,jungle_sapling,0.0,0
sprint_D,27,28,jungle_sapling,0.0,0
walk_DW,27,28,jungle_sapling,0.0,0
sprint_DW,27,28,jungle_sapling,0.0,0
break_U,27,28,jungle_sapling,0.0,0
break_UF,27,28,jungle_sapling,0.0,0
break_F,27,28,jungle_sapling,0.0,0
break_DF,27,28,jungle_sapling,0.0,0
break_D,27,28,jungle_sapling,0.0,0
jump,29,30,acacia_sapling,0.0,0
sneak,29,30,acacia_sapling,0.0,0
offset,29,30,acacia_sapling,0.0,0
place,29,30,acacia_sapling,0.0,0
walk_W,29,30,acacia_sapling,0.0,0
sprint_W,29,30,acacia_sapling,0.0,0
walk_WA,29,30,acacia_sapling,0.0,0
sprint_WA,29,30,acacia_sapling,0.0,0
walk_A,29,30,acacia_sapling,0.0,0
sprint_A,29,30,acacia_sapling,0.0,0
walk_AS,29,30,acacia_sapling,0.0,0
sprint_AS,29,30,acacia_sapling,0.0,0
walk_S,29,30,acacia_sapling,0.0,0
sprint_S,29,30,acacia_sapling,0.0,0
walk_SD,29,30,acacia_sapling,0.0,0
sprint_SD,29,30,acacia_sapling,0.0,0
walk_D,29,30,acacia_sapling,0.0,0
sprint_D,29,30,acacia_sapling,0.0,0
walk_DW,29,30,acacia_sapling,0.0,0
sprint_DW,29,30,acacia_sapling,0.0,0
break_U,29,30,acacia_sapling,0.0,0
break_UF,29,30,acacia_sapling,0.0,0
break_F,29,30,acacia_sapling,0.0,0
break_DF,29,30,acacia_sapling,0.0,0
break_D,29,30,acacia_sapling,0.0,0
jump,31,32,dark_oak_sapling,0.0,0
sneak,31,32,dark_oak_sapling,0.0,0
offset,31,32,dark_oak_sapling,0.0,0
